srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q11,Q11a,Q11b,Q12,Q14,Q15,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,p_state,p_gender_sdc,p_age_group_sdc,p_education_sdc
2023,'2','1','-98','4','4','3','3','3','3','4','4','4','9.0','9.0','9.0','8.0','9.0','9.0','9.0','9.0','1','2','2','4','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','1','2.0','3.0','2.0'
1789,'4','11','Green','4','3','3','3','2','2','2','2','1','5.0','5.0','5.0','1.0','8.0','5.0','2.0','5.0','4','4','4','2','3.0',2.0,nan,'3.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','2.0','3.0','3.0'
780,'2','16','Independent','2','3','2','2','2','2','1','3','2','6.0','6.0','6.0','1.0','6.0','1.0','1.0','8.0','2','4','4','2','1.0',nan,2.0,'2.0','3.0','-98.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','2.0','4.0','3.0'
859,'2','28','Independent','4','4','4','3','4','3','3','3','3','9.0','8.0','5.0','3.0','8.0','7.0','6.0','9.0','4','4','4','4','1.0',nan,2.0,'2.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','2.0','2.0','1.0'
733,'2','4','Centre-right','4','4','4','4','2','2','2','3','2','7.0','7.0','6.0','7.0','7.0','7.0','7.0','7.0','2','4','2','4','2.0',1.0,nan,'3.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','1.0','2.0','1.0'
2355,'1','1','Centre-right','5','5','5','5','3','1','4','2','2','9.0','9.0','9.0','1.0','8.0','8.0','5.0','10.0','4','5','5','5','nan',nan,nan,'nan','nan','nan','3.0','1.0','3.0','3.0','3.0','4.0','4.0','2.0','1.0','4.0','1.0','4.0','3.0','2.0','3.0','1','2.0','4.0','3.0'
750,'5','19','Centre-right','3','3','3','2','2','2','2','2','2','3.0','3.0','3.0','1.0','4.0','3.0','3.0','4.0','4','4','4','4','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','2.0','3.0','3.0','1','1.0','3.0','2.0'
1538,'2','-98','Independent','3','2','3','2','1','1','3','2','2','2.0','4.0','2.0','1.0','1.0','5.0','2.0','7.0','4','4','4','2','3.0',2.0,nan,'2.0','3.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','2.0','3.0','nan'
2607,'2','16','Centre-right','3','3','3','2','2','2','2','2','1','7.0','7.0','6.0','6.0','8.0','6.0','6.0','7.0','2','4','4','1','1.0',nan,2.0,'2.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','2.0','4.0','3.0'
1052,'3','36','Centre-left','4','3','2','2','2','2','2','1','1','5.0','5.0','3.0','2.0','4.0','4.0','2.0','4.0','3','4','4','4','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','3.0','2.0','3.0','3.0','2.0','2.0','2.0','2.0','3.0','2.0','3.0','3.0','1','2.0','4.0','3.0'
977,'4','11','Centre-left','3','2','3','2','2','2','1','2','1','2.0','2.0','1.0','1.0','3.0','1.0','2.0','5.0','5','5','5','1','1.0',nan,2.0,'1.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','2.0','4.0','1.0'
466,'4','13','Centre-right','4','4','5','2','3','2','3','3','1','5.0','5.0','2.0','2.0','8.0','3.0','7.0','2.0','2','4','4','2','2.0',1.0,nan,'2.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','2.0','4.0','3.0'
537,'4','13','Centre-right','5','3','4','3','3','1','2','3','3','8.0','8.0','9.0','6.0','8.0','8.0','8.0','9.0','2','2','4','1','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','2.0','1.0','1.0','3.0','2.0','3.0','3.0','1.0','3.0','2.0','4.0','3.0','1','2.0','4.0','3.0'
1271,'4','11','Independent','5','2','2','5','1','1','1','3','1','4.0','7.0','7.0','3.0','9.0','3.0','3.0','9.0','2','2','2','2','3.0',2.0,nan,'2.0','4.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','2.0','2.0','1.0'
293,'2','13','-98','3','4','4','5','2','2','3','3','3','7.0','8.0','5.0','6.0','7.0','5.0','6.0','7.0','2','2','2','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','3.0','3.0','3.0','2.0','3.0','2.0','2.0','2.0','3.0','4.0','3.0','3.0','2','2.0','2.0','1.0'
2498,'4','16','Centre-right','3','3','3','3','4','4','4','4','4','5.0','5.0','3.0','2.0','7.0','3.0','1.0','10.0','4','4','4','4','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2','1.0','2.0','2.0'
656,'2','19','Centre-left','1','1','2','1','1','1','2','2','1','3.0','4.0','3.0','1.0','5.0','3.0','1.0','1.0','4','4','4','1','1.0',nan,2.0,'3.0','1.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','1.0','4.0','1.0'
1324,'1','1','Centre-right','5','4','5','5','1','1','3','1','3','10.0','4.0','4.0','4.0','8.0','6.0','4.0','5.0','4','5','4','2','2.0',1.0,nan,'1.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','1.0','4.0','3.0'
464,'5','19','Independent','4','2','2','3','3','3','3','4','2','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','5','5','5','1','nan',nan,nan,'nan','nan','nan','3.0','3.0','2.0','4.0','3.0','3.0','3.0','3.0','3.0','2.0','1.0','3.0','2.0','3.0','3.0','2','1.0','4.0','2.0'
199,'2','11','Centre-right','3','3','3','3','3','1','1','2','1','7.0','5.0','5.0','5.0','5.0','5.0','1.0','8.0','4','2','2','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','3.0','3.0','2.0','3.0','2.0','4.0','2.0','3.0','2.0','3.0','4.0','3.0','4.0','2','2.0','2.0','2.0'
1233,'2','1','Centre-left','2','1','4','4','2','2','4','4','1','7.0','7.0','6.0','2.0','7.0','2.0','7.0','7.0','2','4','4','2','nan',nan,nan,'nan','nan','nan','1.0','1.0','2.0','2.0','2.0','2.0','1.0','3.0','4.0','1.0','1.0','3.0','3.0','3.0','3.0','2','2.0','4.0','1.0'
1428,'2','30','Centre-left','4','2','4','2','3','3','4','3','3','7.0','7.0','7.0','3.0','7.0','5.0','4.0','9.0','2','2','2','2','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','3.0','4.0','3.0','2.0','3.0','1.0','1.0','1.0','3.0','3.0','3.0','6','2.0','2.0','1.0'
2468,'2','5','Centre-left','5','4','4','4','1','1','2','2','2','6.0','6.0','7.0','1.0','5.0','6.0','7.0','8.0','4','4','4','2','2.0',2.0,nan,'2.0','4.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','6','2.0','4.0','3.0'
1774,'4','20','Centre-left','3','3','3','2','3','2','2','3','2','8.0','8.0','7.0','7.0','9.0','8.0','5.0','9.0','4','4','4','2','nan',nan,nan,'nan','nan','nan','-98.0','-98.0','-98.0','3.0','3.0','3.0','3.0','-98.0','2.0','2.0','2.0','3.0','2.0','2.0','3.0','2','2.0','4.0','1.0'
103,'3','96','Centre-right','5','4','3','3','1','1','1','1','1','7.0','2.0','5.0','1.0','5.0','1.0','1.0','7.0','1','3','3','1','nan',nan,nan,'nan','nan','nan','2.0','1.0','1.0','3.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','2.0','2.0','1.0','2','2.0','4.0','1.0'
1137,'1','28','Centre-right','2','2','3','2','1','1','3','2','1','6.0','5.0','3.0','2.0','7.0','5.0','1.0','6.0','2','4','5','5','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','3.0','2.0','3.0','3.0','1.0','1.0','3.0','1.0','3.0','3.0','3.0','3.0','2','2.0','4.0','3.0'
215,'4','11','Centre-right','2','1','3','1','3','3','2','3','2','7.0','7.0','4.0','2.0','8.0','5.0','5.0','9.0','1','2','4','2','nan',nan,nan,'nan','nan','nan','3.0','3.0','4.0','3.0','3.0','4.0','3.0','3.0','3.0','4.0','2.0','3.0','3.0','4.0','3.0','2','1.0','4.0','1.0'
4,'5','29','Centre-right','2','2','4','4','4','3','4','4','3','9.0','7.0','9.0','2.0','7.0','9.0','2.0','9.0','5','5','5','5','2.0',1.0,nan,'1.0','4.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','3.0','1.0'
1329,'4','11','Green','2','4','3','2','2','2','2','3','2','7.0','7.0','5.0','2.0','8.0','5.0','2.0','8.0','2','4','5','2','nan',nan,nan,'nan','nan','nan','4.0','4.0','3.0','4.0','4.0','4.0','4.0','2.0','2.0','2.0','1.0','2.0','2.0','1.0','2.0','2','1.0','3.0','1.0'
2384,'4','28','Centre-left','3','1','2','2','1','1','2','3','1','3.0','3.0','3.0','2.0','3.0','1.0','1.0','3.0','1','1','2','2','3.0',2.0,nan,'2.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','1.0','4.0','2.0'
772,'5','16','Other','1','1','1','1','1','1','1','3','1','1.0','2.0','1.0','1.0','3.0','1.0','1.0','3.0','2','4','2','2','3.0',2.0,nan,'3.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','3.0','1.0'
1165,'2','5','Green','2','2','2','2','1','2','2','2','1','3.0','3.0','1.0','1.0','3.0','1.0','2.0','3.0','4','4','4','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','2.0','2.0','2.0','2','2.0','4.0','3.0'
2267,'2','17','Centre-left','4','4','4','2','2','1','2','2','1','7.0','7.0','5.0','4.0','7.0','4.0','7.0','8.0','2','4','2','2','3.0',1.0,nan,'2.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','1.0','3.0','2.0'
137,'2','11','Green','-98','3','3','-98','3','1','3','2','2','8.0','7.0','5.0','1.0','6.0','6.0','5.0','5.0','4','5','5','4','3.0',2.0,nan,'4.0','3.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','4.0','1.0'
1858,'4','16','Centre-left','1','1','1','1','1','1','1','2','1','1.0','1.0','3.0','1.0','7.0','1.0','1.0','3.0','4','2','5','1','1.0',nan,2.0,'3.0','2.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','4.0','3.0'
1067,'3','13','Swing','2','1','4','3','1','1','3','3','1','2.0','5.0','5.0','2.0','5.0','4.0','5.0','7.0','4','4','4','1','nan',nan,nan,'nan','nan','nan','2.0','1.0','2.0','2.0','2.0','-98.0','1.0','3.0','2.0','3.0','1.0','3.0','3.0','3.0','3.0','3','2.0','4.0','2.0'
1019,'1','1','Centre-left','4','4','3','3','3','2','1','4','2','6.0','6.0','6.0','3.0','7.0','5.0','2.0','8.0','4','4','4','4','2.0',1.0,nan,'2.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','4.0','3.0'
1226,'4','29','Centre-left','1','1','2','3','2','1','1','1','1','8.0','7.0','7.0','4.0','9.0','5.0','7.0','9.0','2','2','4','1','3.0',2.0,nan,'1.0','3.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','4.0','1.0'
990,'2','96','Centre-right','3','3','3','3','1','2','3','2','2','5.0','5.0','5.0','1.0','3.0','5.0','2.0','5.0','4','4','4','2','nan',nan,nan,'nan','nan','nan','3.0','3.0','4.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','3','1.0','4.0','2.0'
509,'2','1','Centre-left','3','3','4','3','3','3','3','3','3','6.0','4.0','2.0','3.0','5.0','2.0','5.0','7.0','2','5','4','4','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','1.0','3.0','2.0','3.0','3.0','4.0','3.0','3.0','3.0','3.0','3.0','3','1.0','3.0','3.0'
1910,'4','11','-98','5','2','3','5','1','2','2','3','1','8.0','8.0','9.0','9.0','9.0','9.0','9.0','9.0','2','4','4','4','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','1.0','2.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3','2.0','2.0','3.0'
128,'2','11','Centre-right','3','3','3','3','3','3','3','3','3','8.0','7.0','8.0','2.0','7.0','3.0','4.0','8.0','2','4','4','4','3.0',2.0,nan,'4.0','4.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','3.0','1.0'
770,'2','19','Centre-right','4','2','3','3','3','3','3','3','3','8.0','7.0','5.0','1.0','7.0','4.0','1.0','5.0','4','4','4','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','3.0','2.0','1.0','4.0','2.0','3.0','3.0','2.0','3.0','3.0','3.0','2.0','3.0','3','2.0','3.0','1.0'
1061,'4','16','Centre-right','3','2','3','2','1','1','2','2','1','7.0','6.0','8.0','1.0','6.0','3.0','4.0','9.0','2','2','1','1','2.0',1.0,nan,'2.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','3.0','2.0'
305,'4','11','Independent','2','2','2','2','2','2','2','2','1','4.0','2.0','1.0','1.0','3.0','3.0','3.0','3.0','2','2','2','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','4.0','1.0','2.0','3.0','2.0','2.0','3.0','2.0','3.0','3.0','3.0','3.0','3','2.0','3.0','1.0'
452,'2','5','Centre-right','3','3','4','2','1','2','3','2','1','8.0','7.0','8.0','1.0','7.0','6.0','3.0','7.0','2','4','2','2','2.0',2.0,nan,'2.0','4.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','4.0','3.0'
320,'2','16','Centre-right','3','3','4','4','2','2','4','3','2','8.0','8.0','8.0','5.0','5.0','7.0','8.0','9.0','2','5','5','1','2.0',1.0,nan,'4.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','4.0','1.0'
595,'4','1','Centre-right','4','5','3','4','1','1','2','1','1','6.0','6.0','1.0','2.0','7.0','1.0','1.0','5.0','2','2','4','2','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','1.0','3.0','3.0','3.0','3.0','3','2.0','2.0','2.0'
1384,'2','1','Centre-left','5','5','3','3','1','1','1','1','1','6.0','5.0','6.0','6.0','6.0','6.0','6.0','6.0','4','4','4','2','nan',nan,nan,'nan','nan','nan','2.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3','2.0','3.0','2.0'
1687,'4','13','Centre-right','5','4','4','2','3','1','4','3','1','9.0','8.0','3.0','1.0','4.0','4.0','1.0','9.0','1','4','4','1','nan',nan,nan,'nan','nan','nan','1.0','1.0','2.0','2.0','1.0','1.0','1.0','3.0','3.0','2.0','2.0','3.0','2.0','3.0','2.0','3','1.0','4.0','nan'
308,'2','-98','-99','3','2','3','3','2','2','2','2','2','5.0','3.0','5.0','3.0','3.0','5.0','3.0','5.0','2','4','4','2','3.0',2.0,nan,'2.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','4.0','nan'
269,'4','16','Centre','2','2','1','3','2','2','1','3','2','6.0','6.0','6.0','4.0','6.0','6.0','5.0','6.0','2','4','2','2','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','1.0','4.0','3.0','3.0','4.0','3','1.0','3.0','2.0'
1072,'4','1','Centre-right','4','5','2','2','2','1','2','1','1','6.0','8.0','8.0','4.0','9.0','8.0','4.0','10.0','1','1','1','1','nan',nan,nan,'nan','nan','nan','3.0','1.0','1.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','4.0','3.0','3.0','3.0','3','2.0','4.0','3.0'
1070,'4','16','Centre-right','5','4','4','4','2','2','3','3','2','5.0','5.0','7.0','3.0','6.0','5.0','4.0','5.0','2','4','4','1','2.0',1.0,nan,'2.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','4.0','3.0'
2034,'4','1','Centre-right','1','1','3','3','2','2','3','2','1','6.0','8.0','8.0','1.0','7.0','3.0','3.0','7.0','2','2','1','4','2.0',1.0,nan,'2.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','3.0','2.0'
1069,'2','1','Centre-right','3','3','3','3','2','2','2','4','2','7.0','7.0','7.0','2.0','8.0','2.0','4.0','8.0','4','4','4','4','2.0',2.0,nan,'2.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','3.0','2.0'
28,'4','-98','Centre-right','5','1','1','2','1','1','2','1','2','nan','6.0','7.0','nan','8.0','4.0','7.0','9.0','5','5','4','4','nan',nan,nan,'nan','nan','nan','1.0','1.0','1.0','4.0','2.0','2.0','1.0','2.0','4.0','2.0','2.0','4.0','2.0','4.0','4.0','3','2.0','4.0','3.0'
1214,'2','20','Centre-left','2','2','4','2','2','2','3','4','2','7.0','7.0','5.0','5.0','8.0','7.0','3.0','10.0','4','4','4','4','nan',nan,nan,'nan','nan','nan','2.0','2.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3','1.0','4.0','1.0'
463,'2','1','Centre-right','5','4','4','5','2','3','2','3','2','5.0','5.0','5.0','7.0','5.0','4.0','4.0','7.0','4','5','4','1','nan',nan,nan,'nan','nan','nan','2.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','2.0','4.0','3.0','4.0','4.0','4','2.0','4.0','3.0'
64,'4','13','Centre-left','5','5','1','5','1','1','1','1','1','4.0','4.0','3.0','3.0','6.0','5.0','4.0','5.0','4','5','4','1','1.0',nan,2.0,'4.0','4.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','4','2.0','4.0','1.0'
721,'2','6','Centre-right','5','5','3','2','2','1','1','2','2','6.0','6.0','7.0','5.0','5.0','7.0','7.0','8.0','4','4','2','1','3.0',1.0,nan,'2.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','4','2.0','2.0','1.0'
1846,'2','11','Centre-right','4','2','4','2','2','2','3','2','2','7.0','7.0','5.0','5.0','9.0','1.0','7.0','9.0','4','2','4','2','2.0',2.0,nan,'2.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','4','2.0','2.0','1.0'
535,'2','28','Centre-right','3','5','2','2','1','1','1','2','4','5.0','5.0','5.0','nan','6.0','8.0','nan','5.0','5','4','4','-98','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','3.0','2.0','3.0','3.0','-98.0','-98.0','-98.0','2.0','3.0','-98.0','-98.0','-98.0','4','2.0','4.0','nan'
1246,'4','-98','-98','4','4','4','2','1','1','2','2','2','5.0','5.0','5.0','1.0','5.0','5.0','1.0','5.0','2','4','4','2','3.0',2.0,nan,'1.0','3.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','4','2.0','2.0','2.0'
33,'2','13','Centre-left','4','5','4','4','1','2','2','1','2','6.0','6.0','7.0','3.0','4.0','4.0','6.0','8.0','4','4','2','2','3.0',1.0,nan,'2.0','1.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','4','1.0','3.0','2.0'
1155,'2','30','Centre-right','5','5','4','5','1','2','3','2','1','6.0','5.0','6.0','4.0','7.0','6.0','4.0','7.0','2','4','4','2','nan',nan,nan,'nan','nan','nan','2.0','3.0','4.0','3.0','4.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','4.0','4.0','3.0','5','2.0','2.0','2.0'
613,'2','13','Centre-left','5','5','2','2','1','1','1','1','1','1.0','10.0','1.0','1.0','10.0','1.0','1.0','10.0','4','5','5','2','nan',nan,nan,'nan','nan','nan','4.0','3.0','3.0','1.0','1.0','1.0','3.0','1.0','1.0','3.0','1.0','3.0','3.0','3.0','3.0','5','2.0','4.0','1.0'
1219,'2','34','Centre-right','2','2','4','2','2','2','2','2','2','7.0','7.0','1.0','7.0','7.0','7.0','7.0','7.0','4','4','4','2','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','3.0','4.0','3.0','3.0','3.0','1.0','3.0','2.0','3.0','3.0','3.0','5','2.0','4.0','3.0'
249,'2','17','Centre-right','4','3','3','3','3','4','3','3','4','8.0','7.0','7.0','3.0','8.0','8.0','7.0','8.0','2','2','2','2','2.0',1.0,nan,'2.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','5','2.0','4.0','3.0'
1859,'4','11','Green','3','5','4','4','3','3','4','3','3','5.0','5.0','1.0','1.0','5.0','5.0','5.0','8.0','5','5','5','5','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','4.0','3.0','5','2.0','4.0','1.0'
863,'2','19','Centre-left','3','3','2','2','2','2','2','2','2','4.0','4.0','5.0','1.0','1.0','3.0','4.0','6.0','2','2','2','2','1.0',nan,2.0,'2.0','4.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','5','1.0','3.0','1.0'
688,'2','11','Centre-left','1','1','2','1','1','1','1','1','1','2.0','4.0','2.0','1.0','3.0','2.0','1.0','1.0','2','5','4','1','nan',nan,nan,'nan','nan','nan','-98.0','2.0','2.0','-98.0','2.0','1.0','2.0','3.0','4.0','3.0','2.0','3.0','3.0','-98.0','3.0','5','2.0','4.0','1.0'
304,'2','13','Centre-right','2','2','1','1','1','1','1','1','1','3.0','1.0','7.0','1.0','5.0','3.0','4.0','3.0','4','5','4','1','2.0',1.0,nan,'2.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','5','1.0','2.0','2.0'
1591,'4','16','Centre-left','1','3','2','2','1','1','1','1','1','6.0','4.0','4.0','3.0','4.0','4.0','3.0','4.0','5','5','5','5','nan',nan,nan,'nan','nan','nan','1.0','2.0','2.0','3.0','3.0','3.0','2.0','1.0','1.0','1.0','1.0','3.0','3.0','3.0','2.0','1','1.0','3.0','2.0'
