srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,p_state,p_gender_sdc,p_age_group_sdc,p_education_sdc
32,'2','19','Centre-left','3','4','4','4','3','3','3','4','2','9.0','8.0','5.0','5.0','9.0','6.0','6.0','9.0','2','2','5','2','3.0','3.0','3.0','3.0','2.0','3.0','3.0','2.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','1','2.0','3.0','1.0'
1483,'2','11','Centre-right','3','4','3','2','2','2','3','2','2','8.0','7.0','6.0','1.0','5.0','5.0','3.0','7.0','2','2','2','2','3.0','3.0','4.0','3.0','3.0','4.0','3.0','2.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','1','2.0','3.0','2.0'
3,'4','5','Centre-right','2','2','2','2','1','1','1','1','1','5.0','3.0','3.0','1.0','4.0','4.0','3.0','4.0','4','4','5','5','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','1','2.0','3.0','3.0'
1635,'2','2','Centre-left','4','4','3','4','2','2','2','2','2','4.0','4.0','3.0','2.0','5.0','5.0','4.0','7.0','4','4','4','2','2.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','1','1.0','3.0','2.0'
2023,'2','1','-98','4','4','3','3','3','3','4','4','4','9.0','9.0','9.0','8.0','9.0','9.0','9.0','9.0','1','2','2','4','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','1','2.0','3.0','2.0'
2355,'1','1','Centre-right','5','5','5','5','3','1','4','2','2','9.0','9.0','9.0','1.0','8.0','8.0','5.0','10.0','4','5','5','5','3.0','1.0','3.0','3.0','3.0','4.0','4.0','2.0','1.0','4.0','1.0','4.0','3.0','2.0','3.0','1','2.0','4.0','3.0'
750,'5','19','Centre-right','3','3','3','2','2','2','2','2','2','3.0','3.0','3.0','1.0','4.0','3.0','3.0','4.0','4','4','4','4','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','2.0','3.0','3.0','1','1.0','3.0','2.0'
1052,'3','36','Centre-left','4','3','2','2','2','2','2','1','1','5.0','5.0','3.0','2.0','4.0','4.0','2.0','4.0','3','4','4','4','2.0','2.0','2.0','3.0','2.0','3.0','3.0','2.0','2.0','2.0','2.0','3.0','2.0','3.0','3.0','1','2.0','4.0','3.0'
537,'4','13','Centre-right','5','3','4','3','3','1','2','3','3','8.0','8.0','9.0','6.0','8.0','8.0','8.0','9.0','2','2','4','1','2.0','2.0','2.0','2.0','1.0','1.0','3.0','2.0','3.0','3.0','1.0','3.0','2.0','4.0','3.0','1','2.0','4.0','3.0'
293,'2','13','-98','3','4','4','5','2','2','3','3','3','7.0','8.0','5.0','6.0','7.0','5.0','6.0','7.0','2','2','2','2','2.0','2.0','2.0','3.0','3.0','3.0','2.0','3.0','2.0','2.0','2.0','3.0','4.0','3.0','3.0','2','2.0','2.0','1.0'
2498,'4','16','Centre-right','3','3','3','3','4','4','4','4','4','5.0','5.0','3.0','2.0','7.0','3.0','1.0','10.0','4','4','4','4','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2','1.0','2.0','2.0'
464,'5','19','Independent','4','2','2','3','3','3','3','4','2','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','5','5','5','1','3.0','3.0','2.0','4.0','3.0','3.0','3.0','3.0','3.0','2.0','1.0','3.0','2.0','3.0','3.0','2','1.0','4.0','2.0'
199,'2','11','Centre-right','3','3','3','3','3','1','1','2','1','7.0','5.0','5.0','5.0','5.0','5.0','1.0','8.0','4','2','2','2','2.0','2.0','3.0','3.0','2.0','3.0','2.0','4.0','2.0','3.0','2.0','3.0','4.0','3.0','4.0','2','2.0','2.0','2.0'
1233,'2','1','Centre-left','2','1','4','4','2','2','4','4','1','7.0','7.0','6.0','2.0','7.0','2.0','7.0','7.0','2','4','4','2','1.0','1.0','2.0','2.0','2.0','2.0','1.0','3.0','4.0','1.0','1.0','3.0','3.0','3.0','3.0','2','2.0','4.0','1.0'
1428,'2','30','Centre-left','4','2','4','2','3','3','4','3','3','7.0','7.0','7.0','3.0','7.0','5.0','4.0','9.0','2','2','2','2','3.0','3.0','3.0','3.0','3.0','4.0','3.0','2.0','3.0','1.0','1.0','1.0','3.0','3.0','3.0','6','2.0','2.0','1.0'
1774,'4','20','Centre-left','3','3','3','2','3','2','2','3','2','8.0','8.0','7.0','7.0','9.0','8.0','5.0','9.0','4','4','4','2','-98.0','-98.0','-98.0','3.0','3.0','3.0','3.0','-98.0','2.0','2.0','2.0','3.0','2.0','2.0','3.0','2','2.0','4.0','1.0'
103,'3','96','Centre-right','5','4','3','3','1','1','1','1','1','7.0','2.0','5.0','1.0','5.0','1.0','1.0','7.0','1','3','3','1','2.0','1.0','1.0','3.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','2.0','2.0','1.0','2','2.0','4.0','1.0'
1137,'1','28','Centre-right','2','2','3','2','1','1','3','2','1','6.0','5.0','3.0','2.0','7.0','5.0','1.0','6.0','2','4','5','5','2.0','2.0','2.0','3.0','2.0','3.0','3.0','1.0','1.0','3.0','1.0','3.0','3.0','3.0','3.0','2','2.0','4.0','3.0'
215,'4','11','Centre-right','2','1','3','1','3','3','2','3','2','7.0','7.0','4.0','2.0','8.0','5.0','5.0','9.0','1','2','4','2','3.0','3.0','4.0','3.0','3.0','4.0','3.0','3.0','3.0','4.0','2.0','3.0','3.0','4.0','3.0','2','1.0','4.0','1.0'
1329,'4','11','Green','2','4','3','2','2','2','2','3','2','7.0','7.0','5.0','2.0','8.0','5.0','2.0','8.0','2','4','5','2','4.0','4.0','3.0','4.0','4.0','4.0','4.0','2.0','2.0','2.0','1.0','2.0','2.0','1.0','2.0','2','1.0','3.0','1.0'
1165,'2','5','Green','2','2','2','2','1','2','2','2','1','3.0','3.0','1.0','1.0','3.0','1.0','2.0','3.0','4','4','4','2','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','2.0','2.0','2.0','2','2.0','4.0','3.0'
1067,'3','13','Swing','2','1','4','3','1','1','3','3','1','2.0','5.0','5.0','2.0','5.0','4.0','5.0','7.0','4','4','4','1','2.0','1.0','2.0','2.0','2.0','-98.0','1.0','3.0','2.0','3.0','1.0','3.0','3.0','3.0','3.0','3','2.0','4.0','2.0'
990,'2','96','Centre-right','3','3','3','3','1','2','3','2','2','5.0','5.0','5.0','1.0','3.0','5.0','2.0','5.0','4','4','4','2','3.0','3.0','4.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','3','1.0','4.0','2.0'
509,'2','1','Centre-left','3','3','4','3','3','3','3','3','3','6.0','4.0','2.0','3.0','5.0','2.0','5.0','7.0','2','5','4','4','3.0','3.0','3.0','3.0','1.0','3.0','2.0','3.0','3.0','4.0','3.0','3.0','3.0','3.0','3.0','3','1.0','3.0','3.0'
1910,'4','11','-98','5','2','3','5','1','2','2','3','1','8.0','8.0','9.0','9.0','9.0','9.0','9.0','9.0','2','4','4','4','3.0','3.0','3.0','3.0','1.0','2.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3','2.0','2.0','3.0'
770,'2','19','Centre-right','4','2','3','3','3','3','3','3','3','8.0','7.0','5.0','1.0','7.0','4.0','1.0','5.0','4','4','4','2','2.0','2.0','3.0','2.0','1.0','4.0','2.0','3.0','3.0','2.0','3.0','3.0','3.0','2.0','3.0','3','2.0','3.0','1.0'
305,'4','11','Independent','2','2','2','2','2','2','2','2','1','4.0','2.0','1.0','1.0','3.0','3.0','3.0','3.0','2','2','2','2','2.0','2.0','2.0','4.0','1.0','2.0','3.0','2.0','2.0','3.0','2.0','3.0','3.0','3.0','3.0','3','2.0','3.0','1.0'
595,'4','1','Centre-right','4','5','3','4','1','1','2','1','1','6.0','6.0','1.0','2.0','7.0','1.0','1.0','5.0','2','2','4','2','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','1.0','3.0','3.0','3.0','3.0','3','2.0','2.0','2.0'
1384,'2','1','Centre-left','5','5','3','3','1','1','1','1','1','6.0','5.0','6.0','6.0','6.0','6.0','6.0','6.0','4','4','4','2','2.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3','2.0','3.0','2.0'
269,'4','16','Centre','2','2','1','3','2','2','1','3','2','6.0','6.0','6.0','4.0','6.0','6.0','5.0','6.0','2','4','2','2','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','1.0','4.0','3.0','3.0','4.0','3','1.0','3.0','2.0'
1072,'4','1','Centre-right','4','5','2','2','2','1','2','1','1','6.0','8.0','8.0','4.0','9.0','8.0','4.0','10.0','1','1','1','1','3.0','1.0','1.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','4.0','3.0','3.0','3.0','3','2.0','4.0','3.0'
1214,'2','20','Centre-left','2','2','4','2','2','2','3','4','2','7.0','7.0','5.0','5.0','8.0','7.0','3.0','10.0','4','4','4','4','2.0','2.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3','1.0','4.0','1.0'
463,'2','1','Centre-right','5','4','4','5','2','3','2','3','2','5.0','5.0','5.0','7.0','5.0','4.0','4.0','7.0','4','5','4','1','2.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','2.0','4.0','3.0','4.0','4.0','4','2.0','4.0','3.0'
1155,'2','30','Centre-right','5','5','4','5','1','2','3','2','1','6.0','5.0','6.0','4.0','7.0','6.0','4.0','7.0','2','4','4','2','2.0','3.0','4.0','3.0','4.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','4.0','4.0','3.0','5','2.0','2.0','2.0'
613,'2','13','Centre-left','5','5','2','2','1','1','1','1','1','1.0','10.0','1.0','1.0','10.0','1.0','1.0','10.0','4','5','5','2','4.0','3.0','3.0','1.0','1.0','1.0','3.0','1.0','1.0','3.0','1.0','3.0','3.0','3.0','3.0','5','2.0','4.0','1.0'
1219,'2','34','Centre-right','2','2','4','2','2','2','2','2','2','7.0','7.0','1.0','7.0','7.0','7.0','7.0','7.0','4','4','4','2','3.0','3.0','3.0','3.0','3.0','4.0','3.0','3.0','3.0','1.0','3.0','2.0','3.0','3.0','3.0','5','2.0','4.0','3.0'
1859,'4','11','Green','3','5','4','4','3','3','4','3','3','5.0','5.0','1.0','1.0','5.0','5.0','5.0','8.0','5','5','5','5','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','4.0','3.0','5','2.0','4.0','1.0'
688,'2','11','Centre-left','1','1','2','1','1','1','1','1','1','2.0','4.0','2.0','1.0','3.0','2.0','1.0','1.0','2','5','4','1','-98.0','2.0','2.0','-98.0','2.0','1.0','2.0','3.0','4.0','3.0','2.0','3.0','3.0','-98.0','3.0','5','2.0','4.0','1.0'
1591,'4','16','Centre-left','1','3','2','2','1','1','1','1','1','6.0','4.0','4.0','3.0','4.0','4.0','3.0','4.0','5','5','5','5','1.0','2.0','2.0','3.0','3.0','3.0','2.0','1.0','1.0','1.0','1.0','3.0','3.0','3.0','2.0','1','1.0','3.0','2.0'
1092,'2','4','Centre-left','2','3','4','3','2','1','4','3','3','8.0','9.0','7.0','5.0','4.0','3.0','1.0','9.0','1','2','2','4','2.0','2.0','2.0','3.0','2.0','2.0','1.0','2.0','2.0','4.0','1.0','4.0','1.0','4.0','3.0','1','2.0','2.0','1.0'
79,'2','4','Centre-right','4','5','4','5','2','2','2','3','2','7.0','6.0','7.0','5.0','5.0','5.0','2.0','5.0','4','5','4','2','2.0','2.0','2.0','4.0','2.0','3.0','3.0','3.0','2.0','2.0','-98.0','3.0','3.0','3.0','3.0','1','2.0','4.0','3.0'
1648,'2','8','Centre-left','2','3','4','2','1','1','2','2','2','7.0','7.0','5.0','3.0','5.0','5.0','5.0','8.0','1','5','2','1','3.0','3.0','4.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','2','1.0','3.0','1.0'
1592,'1','2','Centre-left','3','5','3','2','1','2','1','3','3','6.0','7.0','10.0','3.0','10.0','6.0','10.0','8.0','4','5','4','2','1.0','1.0','1.0','3.0','1.0','4.0','2.0','1.0','1.0','1.0','3.0','3.0','4.0','1.0','3.0','2','2.0','1.0','3.0'
578,'2','1','-98','3','3','4','3','3','2','4','4','3','8.0','6.0','9.0','2.0','7.0','2.0','2.0','9.0','2','2','2','4','3.0','3.0','3.0','3.0','3.0','4.0','2.0','4.0','4.0','4.0','3.0','3.0','3.0','4.0','4.0','1','2.0','2.0','2.0'
787,'1','16','-98','3','2','2','2','2','2','2','2','2','4.0','4.0','4.0','2.0','5.0','4.0','3.0','5.0','2','4','4','2','2.0','2.0','2.0','2.0','2.0','4.0','2.0','2.0','2.0','1.0','2.0','3.0','2.0','1.0','3.0','3','1.0','3.0','2.0'
862,'2','1','Right-wing','4','4','3','2','1','1','2','2','1','3.0','5.0','5.0','1.0','7.0','4.0','1.0','3.0','1','4','2','1','2.0','3.0','3.0','3.0','2.0','3.0','3.0','1.0','1.0','3.0','2.0','3.0','3.0','2.0','3.0','1','1.0','4.0','3.0'
1289,'2','1','Centre-right','2','2','2','2','1','1','1','1','1','7.0','5.0','7.0','2.0','6.0','2.0','2.0','7.0','1','1','1','1','3.0','3.0','3.0','3.0','2.0','3.0','3.0','4.0','3.0','4.0','1.0','4.0','4.0','4.0','4.0','3','2.0','3.0','2.0'
1002,'2','17','Centre-right','4','4','3','4','1','1','1','2','2','7.0','7.0','8.0','7.0','5.0','7.0','7.0','8.0','2','2','2','2','2.0','2.0','2.0','3.0','1.0','3.0','3.0','2.0','3.0','3.0','1.0','3.0','3.0','2.0','3.0','1','2.0','3.0','2.0'
430,'2','6','-98','5','3','4','1','1','1','2','1','1','4.0','5.0','1.0','1.0','4.0','1.0','2.0','8.0','5','5','5','1','1.0','3.0','2.0','4.0','1.0','3.0','2.0','1.0','2.0','1.0','1.0','4.0','3.0','2.0','3.0','5','1.0','3.0','1.0'
333,'4','13','Centre-right','3','3','3','3','1','1','2','2','2','7.0','6.0','8.0','1.0','5.0','7.0','8.0','9.0','2','4','4','4','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','4','1.0','4.0','3.0'
18,'2','1','No-party','2','2','3','3','4','3','3','3','3','6.0','6.0','4.0','4.0','5.0','6.0','7.0','5.0','4','5','4','5','2.0','2.0','2.0','2.0','2.0','3.0','1.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','1','2.0','4.0','2.0'
406,'4','11','Centre-left','2','2','2','2','1','1','1','2','1','3.0','4.0','1.0','1.0','6.0','1.0','1.0','7.0','2','2','2','2','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','2.0','2.0','2.0','3.0','2.0','2.0','3.0','2','2.0','4.0','2.0'
1677,'1','12','Centre-right','5','5','5','5','1','1','1','1','1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','2','2','2','1','3.0','4.0','3.0','3.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','4.0','3.0','1.0','3.0','1','2.0','4.0','2.0'
1225,'2','17','-98','1','3','4','3','2','3','3','2','2','8.0','8.0','9.0','1.0','10.0','6.0','1.0','10.0','1','5','5','1','1.0','1.0','3.0','4.0','1.0','2.0','1.0','4.0','4.0','4.0','4.0','4.0','4.0','4.0','4.0','1','2.0','3.0','2.0'
880,'3','11','Centre-left','2','1','3','2','2','1','2','2','1','5.0','5.0','5.0','3.0','5.0','4.0','2.0','5.0','1','2','2','2','1.0','2.0','2.0','3.0','1.0','1.0','2.0','1.0','1.0','1.0','1.0','3.0','3.0','2.0','3.0','2','2.0','4.0','1.0'
1464,'1','16','Centre-right','4','2','3','3','2','2','3','4','2','9.0','7.0','9.0','8.0','8.0','5.0','4.0','9.0','5','5','2','4','2.0','2.0','2.0','3.0','1.0','1.0','1.0','3.0','2.0','3.0','2.0','3.0','4.0','4.0','3.0','4','2.0','2.0','1.0'
1772,'2','16','Centre-right','2','2','4','4','2','2','3','4','2','7.0','5.0','5.0','4.0','7.0','4.0','4.0','9.0','2','4','2','4','2.0','2.0','3.0','3.0','2.0','3.0','2.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3','1.0','2.0','1.0'
2313,'4','13','Centre-left','3','2','1','2','2','1','2','2','1','5.0','7.0','1.0','1.0','7.0','1.0','1.0','5.0','2','2','4','1','3.0','3.0','3.0','4.0','3.0','3.0','3.0','3.0','2.0','3.0','-98.0','3.0','3.0','3.0','3.0','2','1.0','2.0','2.0'
853,'2','11','Centre-left','3','3','3','3','2','2','2','3','2','6.0','6.0','5.0','4.0','5.0','5.0','3.0','6.0','4','4','4','4','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','8','2.0','3.0','1.0'
1086,'2','11','Centre-left','4','2','4','3','3','3','3','4','3','8.0','8.0','8.0','1.0','8.0','6.0','4.0','9.0','4','5','5','4','3.0','3.0','3.0','4.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','2.0','2.0','3.0','1','2.0','4.0','1.0'
836,'4','16','Right-wing','2','1','1','1','1','1','1','1','1','2.0','1.0','1.0','1.0','1.0','2.0','1.0','5.0','2','2','2','1','1.0','1.0','2.0','1.0','1.0','1.0','1.0','2.0','1.0','2.0','2.0','3.0','3.0','3.0','2.0','1','1.0','3.0','3.0'
482,'2','4','Green','4','4','4','3','3','3','3','3','2','8.0','7.0','3.0','3.0','7.0','3.0','1.0','7.0','2','4','4','4','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','4.0','3.0','1.0','3.0','3.0','3.0','3.0','1','1.0','2.0','1.0'
1813,'1','37','Centre-left','4','2','3','3','2','2','3','4','3','6.0','6.0','8.0','2.0','8.0','4.0','3.0','8.0','1','4','2','4','2.0','2.0','2.0','3.0','2.0','4.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','2.0','3.0','3','2.0','2.0','1.0'
350,'4','35','Centre-left','5','5','2','2','1','2','2','4','2','4.0','3.0','5.0','2.0','10.0','5.0','1.0','9.0','2','2','1','4','4.0','4.0','4.0','4.0','4.0','4.0','4.0','4.0','4.0','4.0','2.0','4.0','2.0','2.0','4.0','4','1.0','3.0','3.0'
1211,'4','12','-98','2','2','3','3','1','2','1','1','1','2.0','5.0','8.0','1.0','3.0','1.0','2.0','8.0','1','1','4','1','2.0','2.0','2.0','3.0','3.0','3.0','3.0','2.0','2.0','2.0','1.0','3.0','3.0','3.0','3.0','1','2.0','4.0','1.0'
1779,'2','-98','-98','2','2','2','2','2','1','2','3','2','4.0','5.0','3.0','3.0','7.0','2.0','6.0','8.0','4','4','4','4','1.0','1.0','1.0','2.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','4','2.0','4.0','1.0'
697,'2','19','Green','4','4','4','5','4','4','3','3','4','7.0','6.0','7.0','6.0','7.0','6.0','6.0','7.0','5','5','5','5','2.0','2.0','2.0','1.0','1.0','3.0','1.0','2.0','3.0','3.0','3.0','3.0','3.0','4.0','3.0','1','2.0','3.0','1.0'
2237,'2','1','Centre-right','3','5','3','4','3','3','4','3','4','6.0','5.0','5.0','3.0','5.0','3.0','4.0','10.0','4','4','-98','2','3.0','3.0','3.0','3.0','3.0','4.0','3.0','3.0','3.0','4.0','2.0','3.0','2.0','4.0','3.0','2','2.0','2.0','3.0'
534,'4','16','Right-wing','3','4','3','3','4','4','2','4','2','7.0','8.0','3.0','1.0','8.0','1.0','2.0','8.0','5','5','5','2','1.0','3.0','3.0','3.0','1.0','1.0','1.0','1.0','1.0','1.0','2.0','3.0','4.0','4.0','4.0','5','1.0','3.0','3.0'
261,'2','-98','Centre-right','3','3','3','3','2','2','2','2','2','7.0','6.0','7.0','3.0','7.0','6.0','5.0','6.0','2','4','4','4','2.0','2.0','3.0','3.0','2.0','3.0','-98.0','-98.0','-98.0','-98.0','2.0','3.0','-98.0','-98.0','-98.0','3','1.0','4.0','1.0'
456,'1','5','Centre-left','5','5','5','5','1','1','1','1','1','2.0','2.0','5.0','5.0','4.0','5.0','3.0','5.0','2','2','2','2','2.0','2.0','2.0','2.0','2.0','3.0','1.0','2.0','2.0','1.0','1.0','2.0','2.0','2.0','2.0','2','2.0','3.0','3.0'
1293,'2','4','-99','4','2','3','3','2','2','2','2','1','6.0','5.0','8.0','1.0','8.0','1.0','1.0','7.0','4','5','4','2','3.0','3.0','3.0','3.0','2.0','3.0','-98.0','-98.0','3.0','2.0','-98.0','3.0','-98.0','-98.0','-98.0','1','1.0','2.0','2.0'
243,'2','96','Centre-left','2','2','4','2','2','2','2','2','2','6.0','6.0','4.0','4.0','6.0','3.0','3.0','6.0','4','4','4','4','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','4','1.0','4.0','1.0'
560,'2','-98','Centre-right','3','3','4','2','2','3','2','3','2','7.0','7.0','8.0','3.0','7.0','4.0','2.0','7.0','4','4','4','4','3.0','3.0','2.0','3.0','3.0','4.0','2.0','3.0','2.0','3.0','2.0','3.0','3.0','4.0','3.0','3','2.0','1.0','1.0'
1594,'2','16','Centre-right','3','3','4','2','2','1','3','2','3','8.0','7.0','8.0','1.0','6.0','6.0','3.0','9.0','2','1','1','1','1.0','2.0','2.0','2.0','1.0','3.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','5','1.0','4.0','1.0'
1822,'2','31','Centre-right','3','4','3','3','2','-98','1','3','3','5.0','5.0','6.0','5.0','5.0','5.0','5.0','6.0','4','5','5','4','1.0','1.0','1.0','1.0','4.0','4.0','1.0','-98.0','4.0','1.0','1.0','4.0','3.0','1.0','3.0','3','2.0','2.0','3.0'
26,'1','13','Right-wing','5','1','5','3','1','1','1','1','1','1.0','1.0','1.0','1.0','2.0','1.0','1.0','1.0','5','5','5','4','1.0','1.0','1.0','2.0','1.0','4.0','1.0','1.0','1.0','1.0','1.0','3.0','1.0','3.0','2.0','1','1.0','4.0','3.0'
623,'4','13','Centre-left','3','3','3','3','1','2','2','2','1','3.0','3.0','4.0','2.0','7.0','3.0','3.0','7.0','4','2','5','2','2.0','2.0','2.0','3.0','2.0','2.0','2.0','2.0','2.0','3.0','2.0','3.0','3.0','3.0','3.0','3','2.0','4.0','3.0'
1934,'2','30','Centre-left','3','4','3','3','1','1','2','1','1','5.0','5.0','5.0','3.0','5.0','5.0','3.0','7.0','2','2','2','2','1.0','2.0','3.0','3.0','2.0','3.0','2.0','2.0','3.0','3.0','2.0','3.0','3.0','-98.0','3.0','1','2.0','3.0','1.0'
169,'2','11','-98','4','4','3','2','2','2','2','2','2','5.0','5.0','10.0','6.0','8.0','7.0','10.0','10.0','4','4','2','2','3.0','4.0','2.0','3.0','3.0','4.0','3.0','3.0','-98.0','3.0','2.0','3.0','4.0','3.0','3.0','2','2.0','1.0','2.0'
797,'1','20','Green','2','2','2','2','1','1','3','3','2','5.0','4.0','4.0','1.0','6.0','1.0','3.0','5.0','4','4','4','2','4.0','4.0','3.0','4.0','4.0','4.0','3.0','3.0','3.0','3.0','1.0','3.0','2.0','3.0','3.0','1','2.0','2.0','2.0'
844,'4','30','Centre-right','4','4','4','4','2','2','2','2','2','3.0','3.0','3.0','3.0','4.0','2.0','2.0','5.0','4','4','4','2','2.0','2.0','3.0','3.0','2.0','3.0','3.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','5','2.0','3.0','1.0'
725,'4','13','Centre-left','3','2','2','2','1','2','1','1','1','7.0','7.0','5.0','3.0','6.0','6.0','6.0','9.0','1','1','1','1','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','2.0','2.0','5','2.0','3.0','3.0'
1422,'2','16','Centre-left','2','2','1','1','1','2','2','3','1','8.0','8.0','9.0','1.0','10.0','2.0','2.0','9.0','1','1','4','4','2.0','3.0','2.0','3.0','4.0','4.0','4.0','1.0','1.0','1.0','3.0','4.0','3.0','4.0','4.0','5','1.0','2.0','1.0'
89,'1','11','Centre-right','5','4','3','2','3','3','3','3','3','7.0','6.0','2.0','1.0','7.0','1.0','1.0','7.0','4','5','4','2','2.0','2.0','3.0','4.0','1.0','2.0','2.0','3.0','3.0','3.0','1.0','3.0','3.0','3.0','3.0','1','2.0','2.0','3.0'
1489,'2','1','Centre-right','3','3','3','3','2','2','2','3','3','6.0','4.0','5.0','3.0','8.0','3.0','4.0','6.0','2','2','2','2','3.0','4.0','3.0','4.0','2.0','3.0','3.0','3.0','2.0','2.0','1.0','3.0','3.0','3.0','4.0','1','2.0','2.0','2.0'
1302,'2','1','Centre-right','5','4','4','1','1','1','1','2','1','10.0','10.0','9.0','1.0','9.0','7.0','5.0','10.0','4','4','2','2','2.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','4.0','3.0','3','2.0','2.0','1.0'
1432,'2','37','Green','3','2','2','2','1','3','1','3','1','3.0','4.0','2.0','1.0','6.0','2.0','2.0','5.0','2','1','4','1','4.0','3.0','4.0','4.0','3.0','3.0','3.0','2.0','1.0','3.0','1.0','4.0','2.0','2.0','4.0','2','2.0','1.0','3.0'
280,'2','13','Centre-left','4','3','4','4','2','4','2','2','2','5.0','5.0','5.0','3.0','5.0','2.0','4.0','5.0','4','4','4','4','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','4.0','1','2.0','4.0','3.0'
31,'2','13','Independent','5','3','4','2','1','1','2','4','2','6.0','6.0','5.0','3.0','5.0','6.0','2.0','6.0','5','4','4','5','2.0','2.0','2.0','3.0','2.0','3.0','3.0','2.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','1','1.0','4.0','3.0'
532,'2','1','Centre-left','4','4','4','4','2','1','2','2','2','6.0','7.0','8.0','5.0','8.0','6.0','4.0','8.0','1','2','1','1','2.0','2.0','2.0','2.0','2.0','2.0','1.0','2.0','2.0','2.0','1.0','2.0','2.0','3.0','2.0','1','2.0','4.0','3.0'
898,'2','96','Centre-right','5','5','4','5','1','1','1','3','1','5.0','5.0','1.0','1.0','5.0','1.0','1.0','5.0','5','5','5','5','1.0','1.0','1.0','4.0','1.0','4.0','3.0','4.0','2.0','4.0','1.0','4.0','4.0','4.0','4.0','1','1.0','4.0','3.0'
973,'5','11','Green','2','3','2','3','1','2','1','3','1','4.0','4.0','1.0','3.0','5.0','5.0','8.0','7.0','4','4','4','4','2.0','2.0','2.0','3.0','2.0','3.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','1','1.0','3.0','1.0'
755,'2','16','Green','3','3','2','2','2','2','4','4','3','7.0','7.0','3.0','2.0','7.0','2.0','5.0','8.0','2','4','4','2','1.0','1.0','1.0','3.0','1.0','4.0','2.0','3.0','3.0','3.0','2.0','4.0','3.0','3.0','4.0','1','1.0','3.0','2.0'
