srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,p_state,p_gender_sdc,p_age_group_sdc,p_education_sdc
1761,'2','1','Centre-left','4','5','4','3','2','4','2','3','2','6.0','6.0','4.0','1.0','6.0','3.0','2.0','7.0','2','4','4','4','3.0','3.0','2.0','3.0','2.0','3.0','2.0','2.0','2.0','2.0','1.0','4.0','3.0','2.0','3.0','3','2.0','2.0','2.0'
908,'2','7','Centre-right','4','3','2','2','2','2','3','2','2','5.0','5.0','5.0','2.0','4.0','2.0','2.0','6.0','2','4','2','4','3.0','3.0','4.0','3.0','4.0','4.0','3.0','3.0','3.0','3.0','2.0','3.0','4.0','4.0','3.0','4','1.0','3.0','1.0'
882,'2','36','Centre-right','3','3','4','4','4','3','3','2','3','9.0','9.0','8.0','4.0','5.0','8.0','4.0','10.0','2','4','4','4','2.0','1.0','1.0','2.0','1.0','1.0','1.0','1.0','3.0','1.0','2.0','4.0','4.0','4.0','3.0','2','1.0','4.0','1.0'
226,'4','20','Centre-left','3','2','2','2','3','3','1','3','2','1.0','3.0','3.0','1.0','7.0','3.0','3.0','7.0','2','4','2','2','3.0','4.0','4.0','4.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2','1.0','4.0','1.0'
627,'4','16','-98','4','3','3','3','1','1','1','1','1','6.0','6.0','3.0','2.0','5.0','4.0','4.0','6.0','2','4','2','2','3.0','3.0','3.0','3.0','1.0','-98.0','3.0','-98.0','-98.0','1.0','2.0','4.0','2.0','3.0','2.0','1','1.0','3.0','1.0'
1777,'2','96','Centre-left','3','4','2','2','2','2','2','2','3','5.0','7.0','1.0','3.0','6.0','4.0','5.0','9.0','4','4','2','2','3.0','4.0','4.0','4.0','4.0','4.0','4.0','3.0','3.0','3.0','1.0','4.0','3.0','3.0','3.0','8','1.0','1.0','3.0'
661,'2','32','Centre-left','4','4','4','5','2','2','2','1','3','5.0','5.0','1.0','1.0','5.0','1.0','1.0','5.0','4','4','2','4','2.0','2.0','2.0','2.0','2.0','2.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','3','2.0','4.0','1.0'
1431,'2','1','-98','3','2','2','1','1','2','2','2','2','6.0','6.0','6.0','1.0','6.0','4.0','1.0','7.0','2','4','2','2','2.0','2.0','2.0','3.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','4.0','4.0','3.0','2','2.0','2.0','2.0'
107,'4','11','Centre-left','3','3','1','1','2','3','1','3','3','4.0','3.0','6.0','1.0','7.0','5.0','2.0','7.0','4','4','4','2','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','2.0','2.0','2.0','3.0','2.0','2.0','3.0','1','2.0','3.0','3.0'
262,'5','96','Green','1','2','1','5','1','1','2','4','1','3.0','5.0','1.0','1.0','6.0','1.0','1.0','8.0','4','2','2','1','3.0','4.0','1.0','4.0','4.0','4.0','4.0','3.0','1.0','4.0','1.0','4.0','1.0','1.0','4.0','6','1.0','1.0','3.0'
2363,'2','36','Centre-right','5','4','3','3','3','1','2','4','2','9.0','5.0','5.0','6.0','9.0','5.0','2.0','9.0','4','4','4','2','1.0','1.0','1.0','1.0','1.0','1.0','2.0','2.0','1.0','3.0','1.0','2.0','3.0','4.0','3.0','2','2.0','4.0','3.0'
1919,'2','-98','Centre-right','2','2','3','2','2','2','2','3','2','8.0','8.0','4.0','2.0','7.0','3.0','7.0','8.0','2','2','3','2','3.0','3.0','3.0','3.0','3.0','3.0','3.0','-98.0','3.0','3.0','2.0','3.0','2.0','3.0','4.0','3','1.0','3.0','3.0'
2382,'5','20','Other','2','1','2','1','1','1','1','3','2','1.0','3.0','2.0','4.0','4.0','7.0','2.0','9.0','2','5','4','4','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','1','1.0','2.0','1.0'
1206,'2','1','Centre-left','4','3','3','3','1','1','2','2','2','5.0','6.0','2.0','1.0','8.0','2.0','1.0','5.0','4','4','4','2','2.0','2.0','2.0','3.0','1.0','3.0','3.0','2.0','3.0','2.0','1.0','4.0','3.0','3.0','3.0','2','2.0','3.0','3.0'
201,'4','16','Green','3','1','1','5','2','2','1','4','1','1.0','2.0','1.0','3.0','9.0','2.0','7.0','7.0','1','2','4','2','3.0','3.0','3.0','3.0','2.0','2.0','3.0','3.0','2.0','3.0','2.0','3.0','3.0','2.0','4.0','2','2.0','3.0','1.0'
965,'4','5','Green','2','2','2','2','1','1','1','2','1','2.0','1.0','1.0','1.0','2.0','1.0','1.0','2.0','2','2','4','2','2.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','1','2.0','3.0','1.0'
1166,'2','16','Centre-right','3','3','4','2','3','3','4','4','2','10.0','9.0','7.0','1.0','8.0','2.0','2.0','10.0','5','5','4','2','3.0','3.0','4.0','4.0','1.0','1.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','1','1.0','3.0','1.0'
182,'5','13','Right-wing','3','5','3','3','1','1','1','2','1','5.0','6.0','6.0','6.0','5.0','6.0','5.0','7.0','2','4','4','2','2.0','3.0','3.0','3.0','2.0','3.0','2.0','2.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','1','2.0','3.0','2.0'
500,'2','20','Centre-left','2','2','2','3','1','1','1','1','1','6.0','8.0','3.0','1.0','9.0','2.0','1.0','7.0','2','2','1','2','4.0','3.0','2.0','3.0','3.0','3.0','3.0','2.0','1.0','1.0','1.0','3.0','2.0','1.0','2.0','4','2.0','2.0','3.0'
1835,'2','1','Centre-left','2','2','2','2','1','2','1','2','1','5.0','5.0','3.0','3.0','5.0','3.0','3.0','5.0','4','4','4','2','3.0','3.0','3.0','3.0','2.0','4.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','4.0','4','1.0','1.0','3.0'
832,'2','1','Centre-right','2','2','4','4','2','1','3','2','2','6.0','6.0','7.0','1.0','4.0','7.0','7.0','6.0','1','2','1','4','1.0','1.0','1.0','1.0','1.0','2.0','1.0','3.0','3.0','2.0','2.0','3.0','3.0','3.0','3.0','1','2.0','2.0','1.0'
1038,'4','11','Green','2','1','3','1','1','1','1','1','2','4.0','5.0','5.0','2.0','4.0','3.0','8.0','8.0','1','5','5','1','4.0','3.0','3.0','3.0','3.0','3.0','3.0','-98.0','1.0','1.0','1.0','4.0','3.0','2.0','4.0','2','2.0','4.0','1.0'
632,'2','-98','Centre-left','-98','5','3','4','1','1','1','2','2','5.0','5.0','4.0','4.0','5.0','4.0','3.0','5.0','2','2','2','2','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','2','1.0','3.0','2.0'
493,'2','16','Centre-right','3','4','4','3','2','1','1','2','1','10.0','10.0','1.0','1.0','1.0','5.0','1.0','10.0','1','4','4','2','2.0','2.0','3.0','2.0','2.0','3.0','2.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','4','1.0','4.0','3.0'
877,'2','1','Centre-left','4','4','2','2','2','2','2','2','2','3.0','4.0','3.0','2.0','4.0','4.0','2.0','4.0','2','4','2','2','2.0','1.0','2.0','3.0','2.0','2.0','1.0','2.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','4','2.0','2.0','3.0'
