srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q11,Q12,Q14,Q15,p_state,p_gender_sdc,p_age_group_sdc,p_education_sdc
1257,'2','32','Centre-right','3','3','3','3','3','2','3','3','3','5.0','5.0','5.0','3.0','6.0','5.0','3.0','5.0','2','4','4','4','2.0','3.0','2.0','3.0','3','2.0','3.0','1.0'
2312,'2','16','Centre-left','2','2','2','3','3','4','3','4','2','5.0','5.0','4.0','2.0','6.0','3.0','3.0','6.0','4','4','2','4','2.0','2.0','2.0','3.0','5','1.0','2.0','1.0'
1938,'4','4','Centre-left','2','2','3','2','2','2','2','3','2','5.0','4.0','4.0','3.0','4.0','4.0','3.0','4.0','4','4','4','4','1.0','3.0','3.0','3.0','1','1.0','3.0','1.0'
74,'1','-99','Centre-left','3','3','4','3','4','4','4','4','4','8.0','8.0','8.0','8.0','5.0','7.0','7.0','9.0','2','2','4','4','2.0','4.0','2.0','3.0','2','2.0','3.0','3.0'
1571,'2','13','Centre-right','4','2','3','2','1','1','1','2','1','6.0','6.0','2.0','1.0','7.0','7.0','3.0','8.0','4','4','4','2','2.0','3.0','4.0','1.0','1','1.0','4.0','2.0'
1992,'4','16','Centre-right','2','3','2','2','2','3','2','2','3','7.0','7.0','4.0','7.0','7.0','4.0','4.0','7.0','2','4','1','2','2.0','1.0','2.0','3.0','2','2.0','3.0','1.0'
633,'4','35','Centre-left','1','1','1','1','1','1','1','1','1','5.0','5.0','1.0','1.0','5.0','2.0','3.0','5.0','1','1','2','2','1.0','2.0','3.0','2.0','2','1.0','3.0','1.0'
2546,'2','6','Centre-right','2','4','3','3','1','2','2','2','2','8.0','7.0','9.0','1.0','7.0','5.0','1.0','8.0','4','2','2','2','2.0','2.0','2.0','2.0','2','2.0','2.0','3.0'
1979,'2','13','Centre-right','2','2','2','2','1','1','2','2','1','3.0','3.0','1.0','1.0','4.0','1.0','1.0','4.0','4','4','5','1','3.0','3.0','1.0','3.0','1','2.0','2.0','1.0'
1973,'2','1','Centre-left','3','2','5','2','1','1','1','1','1','3.0','5.0','4.0','1.0','5.0','4.0','7.0','9.0','2','2','4','2','1.0','4.0','1.0','3.0','1','2.0','2.0','2.0'
153,'2','13','Centre-right','3','3','3','3','3','2','2','3','2','7.0','7.0','7.0','1.0','6.0','6.0','4.0','8.0','4','4','2','4','2.0','3.0','3.0','3.0','1','1.0','3.0','3.0'
315,'4','13','No-party','1','1','1','1','2','2','2','4','1','1.0','1.0','2.0','1.0','3.0','1.0','1.0','4.0','2','5','5','1','1.0','4.0','1.0','2.0','1','1.0','1.0','1.0'
376,'4','33','Centre-right','2','3','4','4','2','1','2','3','1','7.0','6.0','3.0','1.0','5.0','2.0','2.0','7.0','4','4','4','4','2.0','3.0','2.0','2.0','3','1.0','3.0','1.0'
774,'5','16','Centre-right','1','1','1','1','1','1','1','2','1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','4','5','4','1','1.0','3.0','4.0','2.0','3','2.0','4.0','1.0'
717,'2','36','Centre-right','5','4','4','4','2','3','4','2','2','8.0','4.0','3.0','2.0','5.0','2.0','2.0','8.0','2','4','4','2','2.0','2.0','3.0','3.0','2','2.0','4.0','3.0'
1118,'2','17','Centre-right','1','1','3','3','1','1','2','1','1','5.0','5.0','1.0','1.0','4.0','2.0','1.0','1.0','2','1','5','1','1.0','2.0','3.0','3.0','2','2.0','4.0','1.0'
932,'2','1','Centre-right','4','3','3','3','3','2','3','3','3','7.0','8.0','7.0','5.0','8.0','4.0','5.0','8.0','4','4','4','2','3.0','1.0','4.0','3.0','2','2.0','2.0','2.0'
1529,'2','36','Centre-left','5','5','2','5','2','2','2','2','2','1.0','6.0','3.0','1.0','6.0','6.0','6.0','6.0','2','4','4','1','2.0','2.0','3.0','3.0','2','2.0','4.0','2.0'
1200,'2','16','Centre-left','2','1','2','1','3','2','1','3','2','9.0','10.0','5.0','1.0','9.0','10.0','1.0','4.0','1','1','1','5','2.0','2.0','4.0','3.0','3','1.0','4.0','3.0'
1665,'2','1','Centre-left','4','4','5','4','1','1','1','1','1','10.0','9.0','9.0','3.0','8.0','7.0','7.0','9.0','1','1','1','1','2.0','1.0','3.0','3.0','1','2.0','2.0','2.0'
