srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q11,Q12,Q14,Q15,p_state,p_gender_sdc,p_age_group_sdc,p_education_sdc
1242,'2','17','Centre-left','2','4','2','2','2','2','2','2','2','5.0','6.0','8.0','6.0','8.0','3.0','8.0','7.0','4','2','2','2','1.0','2.0','3.0','3.0','1','2.0','2.0','2.0'
1863,'4','11','Centre-left','2','2','3','2','2','2','2','3','2','5.0','5.0','3.0','2.0','5.0','3.0','2.0','8.0','4','4','5','4','1.0','2.0','3.0','2.0','8','2.0','4.0','1.0'
1720,'5','16','Green','2','3','2','2','1','2','2','3','1','6.0','7.0','7.0','5.0','9.0','7.0','6.0','8.0','1','2','1','2','1.0','1.0','2.0','2.0','2','1.0','2.0','1.0'
1309,'2','4','Centre-right','3','3','4','3','1','1','4','4','2','5.0','4.0','4.0','1.0','4.0','3.0','4.0','5.0','2','1','2','4','2.0','3.0','3.0','2.0','2','1.0','3.0','2.0'
1218,'2','16','Centre-right','2','2','3','3','2','2','3','3','2','8.0','7.0','7.0','4.0','5.0','7.0','3.0','7.0','4','5','2','2','3.0','1.0','3.0','1.0','2','2.0','3.0','1.0'
1787,'2','1','Centre-right','2','2','3','3','1','1','1','1','1','8.0','8.0','9.0','3.0','8.0','7.0','7.0','9.0','1','1','4','4','2.0','2.0','3.0','1.0','3','1.0','3.0','1.0'
2155,'2','36','Right-wing','3','2','4','2','2','3','2','4','1','5.0','6.0','5.0','6.0','9.0','5.0','8.0','9.0','2','4','4','4','2.0','3.0','2.0','3.0','2','2.0','4.0','2.0'
494,'4','13','Right-wing','3','2','3','3','1','2','2','2','1','4.0','4.0','1.0','1.0','1.0','1.0','1.0','8.0','2','1','2','2','3.0','4.0','1.0','1.0','6','1.0','3.0','3.0'
1099,'3','4','-98','4','3','2','2','1','1','1','1','1','8.0','3.0','2.0','1.0','4.0','1.0','2.0','5.0','2','4','4','1','1.0','3.0','2.0','-99.0','1','2.0','3.0','3.0'
576,'2','16','Centre-right','3','1','4','3','2','2','2','2','1','7.0','4.0','7.0','1.0','7.0','2.0','2.0','7.0','2','4','4','2','3.0','3.0','2.0','3.0','3','1.0','4.0','1.0'
1843,'2','1','Centre-right','3','3','4','3','2','2','4','3','2','6.0','5.0','4.0','1.0','5.0','4.0','5.0','8.0','4','4','4','4','2.0','2.0','3.0','3.0','5','2.0','4.0','3.0'
710,'2','32','Centre-right','2','4','2','1','1','1','1','2','2','5.0','5.0','6.0','1.0','5.0','1.0','2.0','5.0','2','4','4','4','2.0','1.0','2.0','1.0','4','2.0','2.0','2.0'
864,'4','15','Green','2','2','2','2','1','1','2','3','2','4.0','4.0','3.0','3.0','6.0','3.0','5.0','5.0','4','4','4','1','1.0','2.0','2.0','3.0','3','2.0','2.0','1.0'
1153,'2','20','Centre-left','3','3','4','4','2','1','1','2','1','5.0','5.0','5.0','1.0','5.0','2.0','4.0','5.0','1','2','2','2','1.0','3.0','1.0','3.0','1','2.0','3.0','1.0'
659,'1','18','Centre-right','3','3','5','3','2','2','2','2','2','9.0','9.0','4.0','1.0','5.0','3.0','6.0','10.0','4','4','4','1','2.0','2.0','2.0','3.0','5','1.0','4.0','1.0'
861,'2','17','Centre-right','3','2','3','2','3','2','3','3','3','5.0','3.0','4.0','1.0','4.0','4.0','3.0','5.0','4','2','4','1','2.0','2.0','3.0','3.0','2','1.0','2.0','1.0'
1182,'4','13','Centre-left','2','1','1','1','2','1','2','1','1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','5','5','5','1','1.0','1.0','2.0','2.0','5','1.0','2.0','2.0'
2006,'4','11','Right-wing','3','4','4','4','2','2','2','2','2','7.0','7.0','4.0','4.0','6.0','3.0','1.0','7.0','2','4','2','2','2.0','2.0','2.0','3.0','1','1.0','4.0','2.0'
1544,'4','11','Green','2','3','3','3','1','1','2','3','1','6.0','6.0','5.0','1.0','7.0','6.0','2.0','9.0','2','4','4','2','1.0','2.0','2.0','2.0','2','1.0','3.0','1.0'
2251,'1','11','Centre-right','5','4','5','4','4','4','4','4','4','10.0','8.0','7.0','9.0','7.0','8.0','4.0','9.0','5','5','5','5','1.0','4.0','4.0','1.0','4','2.0','3.0','2.0'
150,'2','96','Green','3','3','3','3','1','1','2','3','1','6.0','6.0','3.0','2.0','10.0','1.0','6.0','8.0','2','4','4','1','2.0','2.0','3.0','2.0','3','2.0','1.0','1.0'
306,'2','13','Centre-right','3','3','2','2','1','1','2','1','1','7.0','4.0','3.0','5.0','8.0','3.0','7.0','8.0','1','1','2','2','2.0','3.0','3.0','3.0','3','1.0','3.0','2.0'
1237,'2','16','Centre-right','3','4','2','2','1','1','4','1','1','8.0','8.0','8.0','3.0','7.0','1.0','3.0','10.0','2','4','2','2','2.0','2.0','2.0','3.0','2','1.0','3.0','1.0'
2524,'2','13','Centre-left','4','5','4','4','1','1','1','1','1','8.0','8.0','5.0','1.0','4.0','1.0','1.0','7.0','4','4','4','4','2.0','3.0','2.0','3.0','2','2.0','2.0','1.0'
310,'2','13','Centre-right','5','4','5','4','4','4','4','4','4','8.0','8.0','8.0','5.0','8.0','6.0','6.0','8.0','2','2','2','2','2.0','2.0','2.0','3.0','6','1.0','4.0','2.0'
2407,'1','1','Centre-left','4','4','3','2','2','2','2','1','1','5.0','6.0','6.0','1.0','6.0','6.0','4.0','6.0','2','4','4','2','1.0','1.0','3.0','3.0','1','2.0','2.0','1.0'
1243,'4','11','Centre-left','2','1','1','1','2','1','1','2','1','3.0','3.0','1.0','2.0','1.0','1.0','1.0','3.0','4','4','2','4','2.0','4.0','1.0','3.0','2','1.0','3.0','2.0'
2258,'4','96','-98','4','4','2','5','2','2','2','4','2','4.0','4.0','1.0','1.0','4.0','1.0','1.0','4.0','2','1','2','1','3.0','2.0','3.0','1.0','2','2.0','2.0','1.0'
1487,'2','1','Centre-right','3','3','3','3','3','3','3','3','3','8.0','9.0','9.0','7.0','8.0','7.0','7.0','8.0','4','4','4','2','2.0','1.0','4.0','2.0','3','1.0','2.0','2.0'
1279,'5','11','Green','1','1','1','1','1','1','1','1','1','2.0','2.0','1.0','1.0','7.0','1.0','1.0','7.0','1','2','2','2','2.0','3.0','3.0','2.0','1','1.0','4.0','1.0'
2195,'2','16','Centre-left','3','3','3','3','2','2','2','3','2','7.0','7.0','6.0','5.0','7.0','4.0','5.0','7.0','2','4','2','2','2.0','2.0','2.0','3.0','3','2.0','2.0','1.0'
1417,'4','20','Green','3','2','3','1','1','1','2','3','1','5.0','5.0','2.0','1.0','7.0','2.0','3.0','5.0','1','1','2','2','1.0','3.0','2.0','3.0','2','1.0','3.0','1.0'
444,'2','20','Centre-left','2','2','3','3','3','3','4','4','3','7.0','8.0','4.0','7.0','7.0','3.0','6.0','9.0','4','2','2','4','2.0','3.0','2.0','3.0','2','1.0','2.0','3.0'
2541,'2','1','Centre-left','3','3','4','3','3','2','3','3','3','8.0','8.0','8.0','4.0','6.0','5.0','4.0','8.0','2','2','2','2','2.0','2.0','2.0','3.0','2','2.0','3.0','1.0'
448,'2','1','Centre-left','3','2','4','3','2','3','4','4','3','9.0','9.0','8.0','3.0','9.0','2.0','5.0','9.0','4','5','2','2','2.0','2.0','2.0','3.0','2','2.0','4.0','2.0'
1227,'2','5','No-party','3','2','2','2','2','2','2','2','2','5.0','4.0','2.0','1.0','4.0','4.0','1.0','9.0','1','1','2','2','2.0','2.0','2.0','2.0','5','1.0','3.0','1.0'
1352,'2','13','No-party','2','2','4','2','2','1','2','2','1','5.0','5.0','3.0','1.0','3.0','1.0','2.0','7.0','4','2','2','1','1.0','4.0','2.0','3.0','5','1.0','4.0','1.0'
1291,'1','13','Centre-right','4','4','5','4','3','1','2','2','2','8.0','8.0','6.0','1.0','5.0','4.0','1.0','8.0','4','4','4','1','2.0','2.0','3.0','3.0','1','1.0','4.0','2.0'
423,'4','16','Green','3','2','2','2','2','2','2','2','2','4.0','4.0','4.0','3.0','2.0','4.0','2.0','4.0','2','2','4','4','1.0','3.0','3.0','2.0','4','1.0','3.0','3.0'
919,'1','30','Centre-right','4','4','3','3','3','2','3','3','3','9.0','8.0','9.0','7.0','8.0','7.0','7.0','8.0','1','4','2','4','2.0','2.0','3.0','3.0','5','2.0','2.0','2.0'
1572,'2','6','Centre-left','3','4','4','4','3','3','4','4','4','7.0','7.0','7.0','4.0','6.0','4.0','2.0','8.0','2','4','2','4','2.0','4.0','2.0','3.0','8','2.0','2.0','1.0'
1288,'2','4','Green','2','2','3','3','2','2','3','3','2','4.0','5.0','3.0','6.0','8.0','3.0','8.0','6.0','2','4','4','1','1.0','2.0','3.0','3.0','2','2.0','1.0','2.0'
2200,'2','20','Green','1','2','3','2','1','2','2','3','1','5.0','5.0','3.0','1.0','7.0','3.0','5.0','5.0','2','5','2','2','1.0','2.0','3.0','3.0','5','2.0','2.0','1.0'
1664,'5','36','No-party','1','1','1','1','1','1','1','1','1','1.0','1.0','1.0','1.0','3.0','1.0','1.0','1.0','1','1','4','3','1.0','4.0','1.0','2.0','1','2.0','4.0','2.0'
340,'1','1','Centre-right','3','3','2','4','3','3','4','2','2','7.0','7.0','6.0','6.0','6.0','4.0','5.0','6.0','1','4','2','2','2.0','3.0','2.0','3.0','2','1.0','2.0','1.0'
259,'4','11','Green','3','3','3','3','3','2','2','3','2','7.0','7.0','3.0','1.0','6.0','3.0','1.0','7.0','2','2','2','4','2.0','2.0','2.0','3.0','1','2.0','2.0','1.0'
1531,'2','11','Centre-right','4','4','4','3','4','2','4','4','2','7.0','7.0','7.0','2.0','6.0','4.0','4.0','7.0','4','4','4','2','2.0','2.0','3.0','1.0','1','1.0','1.0','1.0'
735,'2','16','Centre-left','4','3','2','2','1','1','1','1','2','5.0','5.0','3.0','2.0','5.0','3.0','1.0','6.0','2','4','2','2','2.0','2.0','4.0','2.0','4','1.0','3.0','2.0'
1468,'2','11','Green','3','3','3','2','3','4','3','4','4','8.0','8.0','8.0','3.0','9.0','4.0','5.0','10.0','4','4','4','4','2.0','2.0','2.0','3.0','2','2.0','1.0','3.0'
1588,'2','5','Centre-right','2','4','3','2','2','2','3','3','3','6.0','5.0','6.0','6.0','8.0','6.0','4.0','9.0','1','4','2','1','3.0','3.0','2.0','3.0','2','2.0','2.0','1.0'
291,'5','1','Right-wing','1','1','1','1','1','1','1','1','1','1.0','1.0','1.0','1.0','1.0','1.0','8.0','1.0','5','1','5','1','1.0','4.0','1.0','3.0','4','1.0','2.0','3.0'
234,'4','1','Centre-right','4','4','4','4','2','3','3','2','3','7.0','6.0','6.0','4.0','5.0','5.0','4.0','8.0','4','4','4','4','3.0','3.0','2.0','2.0','4','1.0','2.0','3.0'
563,'1','36','Green','4','2','4','2','3','2','2','3','3','7.0','6.0','7.0','4.0','6.0','6.0','3.0','6.0','4','4','4','5','2.0','3.0','2.0','3.0','3','1.0','3.0','1.0'
404,'5','11','Centre-left','3','3','1','3','2','2','2','4','1','5.0','3.0','3.0','3.0','10.0','2.0','3.0','10.0','1','2','2','1','2.0','3.0','2.0','2.0','1','1.0','4.0','1.0'
1360,'1','1','Centre-right','1','5','5','5','4','3','3','4','4','7.0','5.0','5.0','7.0','8.0','5.0','5.0','7.0','5','4','4','5','2.0','3.0','1.0','3.0','1','1.0','4.0','3.0'
1638,'2','11','Centre-left','1','1','1','1','1','1','2','3','1','3.0','5.0','1.0','1.0','7.0','6.0','7.0','7.0','4','4','4','4','3.0','2.0','3.0','2.0','2','1.0','2.0','2.0'
1821,'2','4','Centre-right','4','4','4','3','2','2','4','3','3','8.0','8.0','3.0','3.0','5.0','6.0','5.0','8.0','2','2','2','2','2.0','3.0','3.0','2.0','1','1.0','4.0','2.0'
950,'2','4','Centre-left','4','5','4','4','2','2','3','4','2','7.0','6.0','9.0','2.0','6.0','2.0','1.0','9.0','5','4','2','2','2.0','2.0','2.0','3.0','2','1.0','2.0','1.0'
1504,'2','13','Centre-left','4','4','4','2','1','1','3','3','1','7.0','7.0','8.0','7.0','8.0','3.0','4.0','8.0','2','4','2','2','2.0','3.0','3.0','3.0','4','2.0','2.0','1.0'
1492,'4','16','Centre-left','4','1','2','3','1','1','2','1','1','5.0','4.0','1.0','1.0','3.0','1.0','1.0','5.0','1','2','2','1','3.0','4.0','2.0','3.0','2','1.0','3.0','2.0'
324,'4','16','Centre-left','3','3','3','2','2','2','2','2','2','5.0','5.0','2.0','2.0','5.0','3.0','3.0','5.0','2','4','4','2','3.0','2.0','3.0','3.0','4','2.0','3.0','2.0'
161,'2','34','Centre-right','3','3','4','3','3','3','4','3','3','8.0','8.0','8.0','7.0','8.0','6.0','5.0','9.0','4','4','4','2','2.0','1.0','3.0','2.0','2','1.0','3.0','1.0'
961,'2','20','Centre-left','3','1','3','1','1','1','1','1','1','4.0','5.0','4.0','4.0','5.0','5.0','5.0','5.0','4','4','4','4','2.0','4.0','3.0','3.0','4','1.0','4.0','2.0'
123,'2','11','Centre-right','2','1','2','2','1','1','2','3','1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','4','4','4','4','2.0','2.0','4.0','3.0','3','2.0','3.0','2.0'
1804,'4','15','Centre-left','1','2','2','1','1','1','1','3','2','3.0','5.0','3.0','1.0','9.0','5.0','3.0','3.0','2','2','4','1','1.0','2.0','3.0','2.0','5','1.0','2.0','1.0'
2443,'1','19','Centre-left','4','4','2','2','1','1','2','4','1','5.0','5.0','2.0','2.0','5.0','2.0','2.0','5.0','1','1','1','1','2.0','1.0','2.0','3.0','1','2.0','2.0','2.0'
1574,'2','13','Centre-right','2','1','2','3','2','2','3','3','2','3.0','3.0','3.0','2.0','2.0','2.0','2.0','6.0','2','1','4','2','3.0','3.0','2.0','3.0','1','1.0','4.0','3.0'
1449,'5','11','Other','3','2','4','2','1','1','2','3','1','2.0','5.0','2.0','1.0','6.0','1.0','6.0','2.0','2','2','4','2','3.0','2.0','4.0','2.0','2','2.0','3.0','1.0'
115,'4','1','Swing','1','2','2','2','2','2','2','4','2','4.0','4.0','1.0','1.0','1.0','1.0','1.0','4.0','4','2','2','4','2.0','4.0','1.0','1.0','3','2.0','2.0','2.0'
1660,'2','11','Centre-right','4','2','4','4','1','1','2','3','2','5.0','6.0','4.0','5.0','6.0','5.0','6.0','7.0','4','4','4','2','2.0','3.0','3.0','3.0','1','1.0','4.0','2.0'
447,'2','13','Centre-right','4','4','4','4','1','1','1','2','2','4.0','3.0','3.0','1.0','3.0','2.0','1.0','3.0','2','2','2','2','3.0','3.0','2.0','3.0','4','1.0','1.0','2.0'
529,'2','36','Right-wing','2','3','3','3','1','2','2','2','1','8.0','7.0','7.0','5.0','7.0','5.0','4.0','8.0','4','2','2','1','1.0','3.0','1.0','3.0','3','1.0','3.0','2.0'
834,'2','1','Centre-right','2','3','2','3','1','1','4','3','2','4.0','5.0','5.0','2.0','6.0','4.0','7.0','5.0','2','4','4','2','3.0','3.0','2.0','3.0','4','2.0','3.0','1.0'
1941,'2','19','-98','3','3','3','5','4','4','4','4','2','7.0','7.0','1.0','1.0','6.0','4.0','7.0','4.0','4','4','4','1','1.0','3.0','3.0','1.0','2','1.0','1.0','2.0'
1380,'2','29','Centre-left','5','5','4','4','2','3','3','3','2','8.0','8.0','10.0','1.0','7.0','2.0','2.0','10.0','1','2','1','1','2.0','2.0','4.0','2.0','1','1.0','2.0','2.0'
2557,'2','35','Right-wing','4','4','4','4','3','4','1','1','1','9.0','9.0','6.0','1.0','7.0','7.0','5.0','10.0','2','5','1','2','3.0','3.0','1.0','3.0','3','1.0','3.0','1.0'
1114,'5','16','Green','2','2','2','1','2','2','2','2','1','2.0','2.0','1.0','1.0','6.0','1.0','2.0','7.0','2','2','2','2','3.0','3.0','2.0','3.0','3','1.0','2.0','1.0'
62,'5','13','Right-wing','3','4','2','2','3','4','2','2','1','3.0','3.0','3.0','3.0','7.0','3.0','3.0','7.0','2','2','2','2','2.0','2.0','4.0','3.0','2','1.0','2.0','1.0'
2056,'5','16','Centre-right','1','1','1','1','1','1','1','1','1','1.0','1.0','1.0','1.0','4.0','1.0','5.0','1.0','5','5','5','1','1.0','4.0','1.0','2.0','5','1.0','2.0','1.0'
1161,'5','29','Green','5','5','4','2','2','1','1','2','1','4.0','5.0','6.0','3.0','10.0','5.0','5.0','8.0','2','4','4','1','2.0','3.0','2.0','3.0','3','2.0','2.0','2.0'
544,'2','20','Green','3','3','3','3','2','2','2','4','3','5.0','5.0','5.0','1.0','5.0','5.0','2.0','5.0','2','4','4','4','1.0','2.0','3.0','3.0','3','1.0','2.0','1.0'
895,'2','20','Centre-right','4','2','3','4','1','1','2','2','1','7.0','6.0','7.0','6.0','9.0','7.0','7.0','8.0','2','2','2','2','3.0','2.0','3.0','3.0','2','2.0','2.0','1.0'
674,'4','13','Centre-right','4','4','4','4','2','1','3','2','1','7.0','7.0','3.0','2.0','4.0','1.0','2.0','9.0','4','4','4','2','2.0','1.0','2.0','3.0','1','1.0','3.0','1.0'
2390,'2','16','-98','5','2','3','3','1','1','1','2','1','6.0','6.0','5.0','2.0','7.0','3.0','5.0','7.0','2','4','2','2','2.0','2.0','3.0','3.0','1','2.0','3.0','1.0'
105,'2','4','Centre-left','3','1','2','1','1','1','1','1','1','5.0','5.0','2.0','2.0','7.0','2.0','8.0','2.0','5','5','5','5','2.0','3.0','3.0','1.0','1','2.0','2.0','1.0'
1581,'2','1','Centre-left','3','5','3','1','2','1','2','2','1','5.0','4.0','2.0','4.0','7.0','7.0','7.0','7.0','4','4','4','1','1.0','2.0','3.0','-99.0','1','2.0','2.0','3.0'
253,'2','16','Green','2','2','3','1','1','1','2','3','2','4.0','6.0','3.0','7.0','8.0','6.0','5.0','5.0','1','4','1','4','2.0','3.0','3.0','2.0','1','2.0','2.0','1.0'
1436,'2','36','Centre-left','5','5','4','5','2','1','1','2','1','7.0','7.0','5.0','5.0','10.0','7.0','7.0','10.0','4','5','4','5','2.0','2.0','2.0','3.0','2','2.0','3.0','1.0'
487,'1','28','Centre-right','5','5','5','5','1','2','1','2','1','5.0','6.0','4.0','1.0','4.0','2.0','4.0','9.0','1','4','2','2','3.0','2.0','2.0','2.0','2','1.0','4.0','1.0'
873,'2','13','-99','3','3','2','5','1','1','2','2','1','4.0','4.0','3.0','1.0','5.0','1.0','1.0','1.0','2','2','2','1','3.0','1.0','1.0','3.0','2','2.0','4.0','2.0'
1871,'2','29','Green','3','3','4','3','3','2','3','3','2','8.0','4.0','4.0','2.0','7.0','6.0','7.0','8.0','1','4','2','2','2.0','1.0','4.0','1.0','2','1.0','4.0','2.0'
590,'2','11','Green','1','2','3','4','3','3','3','4','3','7.0','8.0','9.0','7.0','9.0','8.0','8.0','8.0','2','2','2','4','1.0','4.0','2.0','2.0','2','2.0','2.0','1.0'
643,'5','13','Right-wing','4','3','3','3','2','1','2','1','1','1.0','3.0','2.0','2.0','1.0','3.0','1.0','2.0','2','2','4','1','2.0','3.0','2.0','2.0','1','2.0','3.0','2.0'
851,'2','1','Centre-right','3','3','4','4','2','1','4','2','2','8.0','1.0','2.0','1.0','3.0','2.0','5.0','8.0','2','4','2','2','2.0','1.0','2.0','3.0','2','1.0','4.0','3.0'
1691,'1','29','Green','4','3','4','3','1','2','2','2','1','5.0','5.0','3.0','2.0','7.0','4.0','5.0','8.0','4','1','4','4','1.0','4.0','2.0','3.0','2','2.0','2.0','1.0'
1452,'1','1','Centre-right','5','5','5','1','1','1','1','4','1','1.0','1.0','1.0','1.0','5.0','1.0','1.0','8.0','5','5','5','1','2.0','3.0','2.0','3.0','5','1.0','4.0','3.0'
1937,'2','26','No-party','2','2','2','2','4','4','4','4','4','5.0','5.0','5.0','5.0','5.0','3.0','5.0','5.0','4','2','4','4','1.0','2.0','2.0','3.0','2','1.0','1.0','1.0'
671,'4','-99','Green','3','3','3','3','1','1','3','3','1','7.0','7.0','1.0','2.0','1.0','1.0','6.0','8.0','2','4','4','4','1.0','2.0','3.0','2.0','3','2.0','1.0','1.0'
584,'4','37','Centre-left','2','1','1','1','3','3','1','4','2','1.0','4.0','1.0','2.0','5.0','1.0','5.0','7.0','5','5','4','4','1.0','2.0','2.0','1.0','1','2.0','2.0','1.0'
650,'2','13','Other','4','4','4','4','4','3','3','1','3','9.0','7.0','9.0','2.0','3.0','6.0','4.0','9.0','4','4','4','4','2.0','2.0','3.0','1.0','4','1.0','3.0','3.0'
1723,'4','13','-98','3','4','3','2','3','2','3','3','3','6.0','6.0','6.0','3.0','5.0','4.0','6.0','6.0','2','5','4','1','2.0','3.0','3.0','3.0','2','2.0','4.0','3.0'
907,'2','5','Centre-right','5','5','4','5','1','1','3','2','1','9.0','8.0','9.0','1.0','8.0','8.0','9.0','9.0','4','5','4','2','3.0','3.0','2.0','3.0','6','2.0','4.0','3.0'
2286,'5','2','Right-wing','2','1','2','2','2','2','2','2','2','1.0','2.0','1.0','1.0','2.0','1.0','2.0','5.0','4','5','4','2','3.0','1.0','2.0','3.0','1','1.0','4.0','2.0'
1398,'2','13','Centre-left','5','5','3','5','2','2','2','1','2','8.0','9.0','5.0','4.0','4.0','5.0','5.0','9.0','2','4','4','1','3.0','2.0','3.0','3.0','3','1.0','4.0','3.0'
364,'5','32','Centre-right','5','2','4','2','1','1','1','1','1','6.0','3.0','3.0','1.0','1.0','2.0','1.0','7.0','2','4','2','1','2.0','2.0','3.0','3.0','4','1.0','4.0','1.0'
86,'4','11','Centre-left','2','2','2','2','2','1','2','4','1','4.0','5.0','1.0','1.0','8.0','1.0','1.0','9.0','1','2','2','4','2.0','2.0','4.0','2.0','5','2.0','3.0','1.0'
1336,'2','20','Green','3','2','3','2','4','3','-98','3','2','7.0','5.0','3.0','5.0','8.0','5.0','6.0','9.0','5','5','5','5','2.0','2.0','3.0','3.0','5','1.0','4.0','1.0'
1491,'4','36','Centre-right','5','5','5','5','1','1','2','1','1','9.0','9.0','7.0','1.0','7.0','4.0','2.0','9.0','1','5','1','5','2.0','4.0','2.0','3.0','4','2.0','2.0','3.0'
1601,'4','36','Centre-left','3','2','4','2','2','1','2','3','2','8.0','7.0','8.0','3.0','3.0','6.0','5.0','8.0','4','2','2','4','2.0','2.0','3.0','3.0','3','1.0','3.0','2.0'
483,'5','20','Independent','2','3','2','1','1','1','1','1','1','3.0','3.0','1.0','1.0','3.0','1.0','1.0','4.0','1','2','1','1','2.0','2.0','3.0','2.0','4','1.0','3.0','3.0'
848,'2','32','No-party','3','2','3','3','3','3','4','2','2','9.0','5.0','5.0','1.0','8.0','1.0','1.0','8.0','2','5','4','2','2.0','2.0','2.0','3.0','1','1.0','3.0','1.0'
1179,'4','32','Centre-right','1','1','1','1','1','1','1','2','3','4.0','2.0','3.0','2.0','6.0','2.0','3.0','6.0','-98','5','5','5','2.0','3.0','1.0','3.0','5','1.0','4.0','3.0'
85,'4','16','Centre-right','4','4','5','5','3','3','4','4','3','10.0','10.0','8.0','7.0','3.0','1.0','7.0','10.0','1','1','1','1','1.0','3.0','3.0','3.0','5','2.0','2.0','1.0'
1997,'4','36','Green','3','3','3','3','2','1','2','2','2','4.0','4.0','4.0','2.0','4.0','2.0','2.0','5.0','2','1','1','4','3.0','2.0','3.0','3.0','2','1.0','4.0','3.0'
1087,'4','13','Centre-right','5','4','2','5','1','1','1','1','2','3.0','4.0','4.0','5.0','4.0','3.0','2.0','5.0','5','5','5','5','3.0','2.0','3.0','2.0','4','2.0','2.0','1.0'
1573,'1','1','Centre-right','3','3','2','2','1','1','3','1','1','6.0','6.0','6.0','2.0','5.0','6.0','6.0','6.0','4','5','4','1','3.0','2.0','3.0','3.0','2','2.0','2.0','1.0'
1647,'2','1','Centre-right','1','1','1','1','1','2','1','1','1','6.0','4.0','6.0','1.0','5.0','1.0','1.0','5.0','5','5','5','1','3.0','3.0','4.0','2.0','3','2.0','2.0','1.0'
65,'4','16','Centre-right','3','2','3','2','2','1','3','2','2','1.0','1.0','2.0','1.0','1.0','1.0','1.0','1.0','5','4','4','1','2.0','4.0','4.0','2.0','3','1.0','4.0','3.0'
1203,'4','11','Independent','3','3','3','3','2','2','1','3','2','7.0','7.0','8.0','1.0','8.0','3.0','1.0','8.0','4','4','5','1','2.0','3.0','2.0','2.0','3','1.0','4.0','1.0'
441,'4','16','Centre-right','4','4','4','2','1','2','1','1','1','5.0','5.0','5.0','1.0','5.0','1.0','1.0','10.0','1','2','2','1','2.0','3.0','3.0','3.0','1','2.0','3.0','3.0'
1035,'2','13','Centre-right','3','2','3','2','2','1','3','2','2','7.0','6.0','8.0','2.0','5.0','5.0','3.0','7.0','4','5','5','4','2.0','2.0','3.0','2.0','5','2.0','4.0','3.0'
1769,'2','30','-98','4','1','1','4','1','2','2','2','1','3.0','3.0','6.0','1.0','1.0','2.0','6.0','7.0','2','2','2','2','2.0','3.0','2.0','3.0','4','2.0','4.0','2.0'
1991,'4','36','No-party','4','2','4','4','2','1','3','3','1','3.0','3.0','3.0','2.0','5.0','2.0','4.0','6.0','4','2','4','4','3.0','1.0','3.0','3.0','3','1.0','3.0','2.0'
202,'2','1','Centre-right','4','2','4','3','2','2','3','2','2','7.0','8.0','8.0','1.0','5.0','8.0','6.0','7.0','4','4','4','4','1.0','2.0','2.0','3.0','4','1.0','4.0','1.0'
521,'2','17','Centre-right','4','4','4','4','3','2','2','3','3','8.0','7.0','7.0','1.0','5.0','4.0','1.0','9.0','4','4','4','2','2.0','2.0','3.0','3.0','2','1.0','3.0','3.0'
709,'4','1','Centre-right','2','1','2','1','3','2','3','4','3','5.0','7.0','9.0','5.0','7.0','5.0','7.0','7.0','1','4','5','1','3.0','3.0','3.0','3.0','1','1.0','2.0','1.0'
271,'4','1','Centre-right','2','4','1','2','1','1','1','2','1','1.0','1.0','2.0','1.0','1.0','1.0','2.0','2.0','1','1','1','1','3.0','2.0','3.0','3.0','5','2.0','3.0','3.0'
1316,'2','11','Centre-left','4','4','5','4','3','3','4','4','3','9.0','9.0','8.0','7.0','8.0','8.0','9.0','9.0','1','4','4','2','2.0','3.0','2.0','3.0','1','1.0','4.0','1.0'
1658,'1','6','Centre-right','5','5','5','5','1','3','3','4','3','7.0','10.0','9.0','4.0','7.0','5.0','7.0','10.0','1','5','5','5','2.0','2.0','3.0','3.0','1','1.0','4.0','1.0'
1876,'4','34','Centre-right','3','3','4','1','1','2','3','3','1','6.0','3.0','5.0','1.0','5.0','3.0','4.0','5.0','2','2','4','1','3.0','3.0','2.0','2.0','3','2.0','3.0','1.0'
1138,'2','11','Centre-left','4','2','4','3','1','1','2','2','1','7.0','9.0','6.0','1.0','9.0','4.0','2.0','8.0','1','4','4','1','2.0','2.0','3.0','3.0','5','1.0','4.0','1.0'
2325,'2','16','Centre-left','3','2','4','3','2','3','4','3','2','8.0','9.0','8.0','2.0','9.0','2.0','6.0','9.0','2','2','4','4','2.0','2.0','2.0','3.0','1','1.0','2.0','2.0'
2300,'2','1','Centre-right','2','4','3','2','3','3','3','3','2','6.0','6.0','6.0','1.0','6.0','6.0','3.0','6.0','2','4','2','4','3.0','2.0','4.0','3.0','5','1.0','3.0','1.0'
1631,'2','1','Centre-right','5','5','1','1','1','1','1','1','1','10.0','10.0','10.0','1.0','1.0','1.0','1.0','10.0','2','5','5','1','1.0','1.0','1.0','3.0','4','1.0','4.0','2.0'
96,'4','16','Green','5','5','5','5','1','1','1','2','1','3.0','3.0','3.0','1.0','4.0','2.0','2.0','3.0','4','4','1','2','3.0','2.0','4.0','1.0','1','2.0','3.0','2.0'
